# q qerr I(q) I(q)err
4.246249924109424950e-02 6.709506009279194230e-05 2.403432494279176268e+01 4.791420500616919043e+00
4.269335040669582776e-02 6.700621335665329654e-05 2.368792710706150473e+01 4.809333640963303402e+00
4.292717084091476204e-02 6.896437123237502613e-05 2.348672566371681469e+01 4.741178832830560630e+00
4.316007288560289035e-02 6.735835804845247382e-05 2.311617312072893071e+01 5.052388718518692201e+00
4.339440191910803879e-02 7.037245596857638261e-05 2.261255411255411119e+01 4.844387956789474536e+00
4.363144753970988471e-02 6.826143681517027339e-05 2.273170731707316961e+01 4.969366980588877603e+00
4.386107962274469335e-02 6.624164794214468591e-05 2.297018348623853257e+01 4.527586839477255154e+00
4.409573705596323001e-02 7.170940769140793695e-05 2.253249475890985210e+01 4.765634938260704168e+00
4.433534367545302612e-02 6.775590854826653211e-05 2.200877192982456165e+01 4.630176970825568894e+00
4.456682912223779158e-02 6.610492296161660122e-05 2.200669642857142705e+01 4.697783150998034785e+00
4.479780304487864656e-02 6.786442677967826091e-05 2.168927789934354422e+01 4.616488084148556936e+00
4.503013318854280633e-02 6.853635641818868680e-05 2.193899782135076393e+01 4.607995073644777229e+00
4.526436263630335272e-02 6.918514626283685297e-05 2.150963597430406793e+01 4.823260972757693388e+00
4.549984770861909000e-02 6.833630877532204714e-05 2.132976445396145593e+01 4.517049793899232668e+00
4.573057769171592901e-02 6.540293680537103750e-05 2.128285077951002080e+01 4.390808582023161044e+00
4.596282480080345761e-02 6.990247096589263711e-05 2.091841004184100328e+01 4.375362842496761218e+00
4.619732296389236076e-02 6.786250507108923557e-05 2.085714285714285765e+01 4.380552400336798158e+00
4.643258444511101646e-02 7.033191385126720280e-05 2.060206185567010451e+01 4.488427272602652174e+00
4.666845704786030252e-02 6.692058153033048496e-05 1.994181034482758719e+01 4.215982186474539262e+00
4.689934413756127740e-02 6.802189408205146866e-05 2.005095541401274062e+01 4.649230702630235079e+00
4.713438507358027468e-02 6.944147399833233919e-05 1.971280991735537214e+01 4.585458823359188862e+00
4.736795136815064727e-02 6.656957436849283657e-05 1.970021413276231215e+01 4.081013171614861434e+00
4.759859747438226207e-02 6.769763208725077138e-05 1.924421052631578988e+01 4.248322465081132648e+00
4.783274694655795245e-02 6.928267493286968941e-05 1.889278350515463956e+01 4.261386814044671567e+00
4.806634396749334681e-02 6.807281927440189521e-05 1.918619246861924665e+01 3.870177539839436243e+00
4.830248047396420996e-02 6.966332651828869844e-05 1.860887096774193594e+01 4.293358016973967572e+00
4.853643200824572096e-02 6.606102041943429451e-05 1.843763213530655420e+01 4.179090147526871135e+00
4.876414520816241271e-02 6.613248851928526920e-05 1.834819532908704787e+01 4.322273366148564833e+00
4.899792577344610350e-02 7.109046729717630826e-05 1.829900990099010016e+01 4.132016628178969420e+00
4.923470399315162116e-02 6.843725681761876167e-05 1.806378600823045133e+01 4.241934108271345316e+00
4.947209300203903731e-02 7.062440267994869150e-05 1.782778864970645927e+01 4.034264493021666453e+00
4.970767414357019076e-02 6.568520737628115111e-05 1.744258872651356995e+01 4.257772894151893972e+00
4.993955421601320444e-02 6.870069007268534431e-05 1.723246492985972012e+01 4.223767689293351779e+00
5.017343134654914799e-02 6.784437425331957467e-05 1.746464646464646364e+01 4.026326485629390106e+00
5.040364307755263590e-02 6.549987049623397846e-05 1.729937629937629850e+01 4.326149562820772232e+00
5.063525219032424807e-02 6.906177440634427543e-05 1.686956521739130466e+01 4.084159332069898340e+00
5.087248401921887209e-02 6.982607771126056830e-05 1.646078431372549034e+01 3.764950972414225383e+00
5.110824603904627617e-02 6.828347019243583200e-05 1.636926147704590662e+01 3.992271947880735805e+00
5.134041616444540157e-02 6.749734166748146504e-05 1.599200000000000088e+01 4.006484743512696234e+00
5.157233759481640728e-02 6.701141620730611365e-05 1.612825651302605223e+01 3.838398922981116623e+00
5.180603234918396832e-02 6.902301690403682475e-05 1.627875243664717431e+01 3.857959836669755838e+00
5.204093912643181080e-02 6.858285367200194556e-05 1.564047151277013725e+01 3.949297208959451577e+00
5.227550176404114485e-02 6.841128413638082530e-05 1.552826510721247644e+01 3.777270800446753451e+00
5.250874134631969281e-02 6.710124584087647154e-05 1.558382642998027556e+01 3.943079024769045482e+00
5.273983379343173683e-02 6.699865505256583098e-05 1.535984095427435392e+01 3.928594421885667654e+00
5.297309563147201833e-02 7.004200559247158596e-05 1.475332068311195499e+01 3.867022303799021010e+00
5.320870841843343413e-02 6.736639692893721994e-05 1.506653620352250478e+01 3.894098175113741789e+00
5.344158726524587955e-02 6.810737650478912789e-05 1.455105973025048094e+01 3.873467868373136280e+00
5.367526270033567970e-02 6.805918753122887452e-05 1.451830443159922979e+01 3.695045480472197941e+00
5.391026527670270824e-02 6.883326900963864436e-05 1.431558935361216811e+01 3.630230003673366124e+00
