# q qerr I(q) I(q)err
3.358123372194379841e-02 6.790165455744005493e-05 1.937571428571428669e+02 1.421785131158598503e+01
3.381409346726198945e-02 6.946853510284985394e-05 1.927042253521126725e+02 1.417643590796251019e+01
3.405235163866184023e-02 6.660978410321308902e-05 1.915559440559440532e+02 1.386172483933876975e+01
3.428443415797702287e-02 7.014504093919582688e-05 1.899968553459119391e+02 1.536259789829068900e+01
3.451790515064617759e-02 6.752790833138901940e-05 1.886139240506329031e+02 1.392969606498097157e+01
3.475058674309065149e-02 6.860561414856442648e-05 1.858990825688073301e+02 1.434860527775923877e+01
3.498255247524993672e-02 6.949851211445105619e-05 1.844656716417910332e+02 1.417163668230634244e+01
3.521787450520567214e-02 6.928285379750772884e-05 1.830906432748537895e+02 1.429690195674172770e+01
3.545148567192742128e-02 6.819735758945621247e-05 1.810409356725146210e+02 1.403259237076411736e+01
3.568299999600531985e-02 6.771859016455015492e-05 1.794637681159420310e+02 1.278917804177605611e+01
3.591626020472690056e-02 6.847219215976182126e-05 1.793105413105413106e+02 1.317950380789798537e+01
3.615098875833893527e-02 7.052968595604587306e-05 1.768484848484848442e+02 1.294718186802569093e+01
3.638614682571900127e-02 6.820923678434241515e-05 1.746468926553672247e+02 1.339886879391055707e+01
3.661805186382561389e-02 6.907515541028400551e-05 1.737548209366391063e+02 1.326015738164308289e+01
3.685317606104113880e-02 6.904996252045599340e-05 1.718913043478260931e+02 1.326419906526964709e+01
3.708883642168768480e-02 6.873622836593106498e-05 1.697216216216216083e+02 1.284692082664470369e+01
3.732239511597464088e-02 6.812675490547725891e-05 1.685799457994579882e+02 1.383903512081350407e+01
3.755463123269808107e-02 6.778877579542675561e-05 1.656222826086956559e+02 1.385053361525183924e+01
3.778670279175407737e-02 6.944847979951479207e-05 1.645755968169761161e+02 1.261684603796492610e+01
3.802298536488796232e-02 7.020534180361206209e-05 1.623012987012986912e+02 1.249928316379395277e+01
3.825885045270431550e-02 6.844491048717255130e-05 1.602808398950131163e+02 1.238588127838840336e+01
3.849029289296715395e-02 6.652498920162236353e-05 1.582079999999999984e+02 1.223502992776614917e+01
3.872248042820892328e-02 6.790361104831614330e-05 1.589041450777202158e+02 1.281659763369453309e+01
3.895386220490307250e-02 6.719082682281010037e-05 1.561029023746701796e+02 1.273404529301036803e+01
3.918674717410664671e-02 7.000314829290660062e-05 1.539417721518987321e+02 1.242207126490969493e+01
3.942407118577949399e-02 7.012279782529274620e-05 1.514565756823821232e+02 1.220517795277351425e+01
3.965683877455637024e-02 6.593437650155711338e-05 1.501168831168831161e+02 1.142654202760922111e+01
3.988742774945142761e-02 6.864886435371258416e-05 1.498511166253101692e+02 1.194164035954793768e+01
4.012278533538721215e-02 6.997066240485112700e-05 1.476932367149758534e+02 1.201928143972573615e+01
4.035757945334737112e-02 6.763234382336403173e-05 1.459702970297029765e+02 1.258531419235382742e+01
4.059262090047784100e-02 7.047756166092368556e-05 1.441752336448598157e+02 1.214149761258289217e+01
4.082512016076288858e-02 6.496092607463988043e-05 1.431460957178841227e+02 1.230537886363248212e+01
